209,65
208,66
207,67
206,68
205,69
204,70
203,71
202,72
201,73
200,74
199,75
198,76
197,77
196,78
195,79
194,80
193,81
192,81
191,80
190,80
189,80
188,81
187,82
186,83
185,84
184,85
183,86
182,86
181,85
180,85
179,85
178,85
177,86
176,87
175,88
174,89
173,90
172,91
171,92
170,93
169,94
168,95
167,96
166,97
165,98
164,99
163,100
162,101
161,102
160,103
159,104
158,105
157,106
156,107
155,108
154,109
153,110
152,111
151,112
150,113
149,114
148,115
147,116
146,117
145,118
144,119
143,120
142,121
142,122
142,123
142,124
142,125
142,126
142,127
142,128
