129,143
126,141
125,141
132,141
133,141
139,123
120,123
135,140
124,140
134,140
136,140
135,119
123,119
122,120
136,120
121,121
137,121
123,139
137,139
122,138
138,138
142,131
118,131
118,132
142,132
119,134
141,134
142,133
119,133
142,130
118,130
142,129
119,129
120,135
141,135
140,136
120,136
119,127
141,127
121,137
139,137
124,118
134,118
125,118
141,126
119,126
127,117
126,117
133,117
128,117
138,122
120,122
142,128
119,128
130,142
128,142
127,142
131,142
130,116
131,116
132,116
129,116
140,125
119,125
139,124
120,124
