140,116
123,116
143,121
138,121
124,121
118,121
120,126
140,126
116,126
144,126
139,115
124,115
125,115
138,122
123,122
143,122
118,122
132,143
131,143
135,142
133,142
124,142
125,142
126,142
134,142
127,142
128,142
129,142
130,142
141,117
131,117
134,117
122,117
132,117
133,117
133,113
131,113
135,113
132,113
134,113
129,114
128,114
126,114
138,114
127,114
130,114
137,114
136,114
115,131
119,131
139,131
144,131
120,133
139,133
143,133
116,133
136,141
122,141
123,141
121,141
137,141
120,140
138,140
132,139
119,139
139,139
129,118
128,118
121,118
127,118
130,118
135,118
136,118
141,118
126,119
125,119
120,119
137,119
142,119
120,127
116,127
140,127
144,127
124,120
119,120
138,120
142,120
140,128
120,128
116,128
144,128
133,138
131,138
124,138
125,138
126,138
134,138
128,138
127,138
129,138
130,138
118,138
140,138
135,137
117,137
123,137
141,137
144,132
119,132
115,132
139,132
116,134
120,134
138,134
143,134
122,123
117,123
139,123
143,123
116,135
121,135
138,135
142,135
116,124
121,124
139,124
144,124
144,129
115,129
119,129
140,129
136,136
117,136
122,136
137,136
142,136
120,125
116,125
144,125
140,125
119,130
115,130
140,130
144,130
